trial,assist_on,wall_seed,outcome,guess,time_to_insert_s,duration_s,peak_contact_force,jerk_integral,contact_events,min_tip_hole_distance_mm,penetration_at_closest_mm,lateral_error_at_closest_mm,n_steps,observer_outcome
0,False,0,success,on,3.609999999999824,3.609999999999824,29.585908987305647,52.33975199382568,1,3.6702170959787996,3.031272776313561,2.0692701339349884,1806,timeout
1,False,1,success,on,3.017999999999889,3.017999999999889,19.874125552388122,64.34070640699377,1,5.553771077653416,-1.9719864364319164,5.191882382865405,1510,timeout
2,True,2,success,unsure,3.2599999999998626,3.2599999999998626,15.074664114709048,43.67587127680865,1,10.698241954078236,5.702752245385005,9.051574323605589,1631,timeout
3,True,3,force_abort,off,,4.699999999999704,30.12630806731499,69.32793414027753,1,20.00446042815398,-0.8358525935163152,19.986990455380983,2351,force_abort
4,True,4,success,unsure,6.853999999999467,6.853999999999467,8.86486260516348,108.70817136185262,1,4.734077780391374,-3.415713372769457,3.27786433304968,3428,timeout
5,False,5,force_abort,off,,5.157999999999654,32.61423008403218,38.44070026988797,1,6.531415621367546,-3.178592683186288,5.7057811536579806,2580,force_abort
6,False,6,force_abort,unsure,,7.035999999999447,30.910326474327256,114.88382167398554,1,28.607191185034335,-12.636610525673717,25.66490720652499,3519,force_abort
7,True,7,success,on,5.995999999999562,5.995999999999562,15.050056693078055,89.15322122807001,1,6.596012213550814,5.675507358005134,3.360951256793393,2999,timeout
8,True,8,force_abort,off,,3.1619999999998734,36.51291275343378,30.963568816705877,1,5.581161872341274,-1.4895272559246904,5.378724421192576,1582,force_abort
9,False,9,success,unsure,4.209999999999758,4.209999999999758,8.73925155279892,43.580437489640474,1,2.594560530690367,0.19804481035356486,2.586991032166192,2106,timeout
10,True,10,success,unsure,4.4179999999997355,4.4179999999997355,9.269786154902258,61.41780443056946,1,5.9369923742402335,2.388775201778873,5.435221383453759,2210,timeout
11,False,11,force_abort,off,,4.155999999999764,35.595096455902514,87.2542624928873,1,20.972692902165335,-1.3628620627393055,20.92836483260176,2079,force_abort
12,True,12,success,unsure,5.065999999999664,5.065999999999664,14.967559735609184,70.31814137068433,1,7.207366369800865,5.3339682046912795,4.847155163586059,2534,timeout
13,False,13,success,off,3.729999999999811,3.729999999999811,19.83918280773195,53.25588422065634,1,12.0444819161615,0.5065781274554776,12.033824131568695,1866,timeout
14,False,14,force_abort,off,,5.003999999999671,33.15996386307689,45.532097330375535,1,10.07168626113768,3.2777672665227646,9.523397812193993,2503,force_abort
15,True,15,success,on,4.277999999999751,4.277999999999751,29.82091476418336,61.33158266766778,1,8.888326568986711,6.548467555523521,6.009985180614916,2140,timeout
16,True,16,success,on,4.047999999999776,4.047999999999776,23.608447073024788,67.11981798704443,1,4.801506326605729,-2.0701398915558493,4.332318528666144,2025,timeout
17,False,17,success,unsure,5.353999999999632,5.353999999999632,8.807982798348169,42.493902422890244,1,6.270830426909744,0.8550624089511236,6.212260660971635,2678,timeout
18,True,18,success,on,3.581999999999827,3.581999999999827,13.223402897017753,39.91996958459234,1,3.654504711421565,1.608215439788121,3.2816227365481114,1792,timeout
19,False,19,success,unsure,2.8079999999999123,2.8079999999999123,16.711975542302465,42.581419612897804,1,8.951767472918757,5.37662962337676,7.157233738130518,1405,timeout
20,False,20,success,on,3.455999999999841,3.455999999999841,21.740554962271542,47.24475261815034,1,1.5918180671732693,0.565611244915986,1.487941087074294,1729,timeout
21,True,21,success,off,4.755999999999698,4.755999999999698,8.714400264203126,57.31782324806571,1,5.6438187014336085,-0.9591301089568961,5.5617226619766,2379,timeout
22,False,22,force_abort,unsure,,8.071999999999365,30.127322276270288,97.86074850442915,1,6.4007776590747705,4.107674448341536,4.908865985882356,4037,force_abort
23,True,23,success,off,4.729999999999701,4.729999999999701,28.206132450720887,71.81939766979835,1,6.295127237315071,-0.9019427661764632,6.230178663612145,2366,timeout
24,False,24,success,off,3.617999999999823,3.617999999999823,14.987458021622176,31.179967068338314,1,3.7889109017051124,0.73023686759411,3.7178757292661344,1810,timeout
25,True,25,force_abort,off,,3.7059999999998134,31.523168166575548,57.999969444811725,1,11.561638028949076,-1.0061540791552535,11.517774432651509,1854,force_abort
26,True,26,success,unsure,4.863999999999686,4.863999999999686,25.074974827781652,110.56616052885065,1,4.2133158435089735,3.0048551469447906,2.953451530505137,2433,timeout
27,False,27,success,off,3.937999999999788,3.937999999999788,22.16449718568378,35.58779375416461,1,2.329219074856931,0.5920654344741852,2.2527139232441993,1970,timeout
28,False,28,success,unsure,2.1699999999999826,2.1699999999999826,20.427457819078633,25.61961393253459,1,11.12295803580552,3.1713109399585804,10.661284274813685,1086,timeout
29,False,29,success,on,3.6959999999998145,3.6959999999998145,17.517909750152896,54.25332446480854,1,6.595579386497137,-0.297841251859442,6.5888510403769756,1849,timeout
30,True,30,success,unsure,7.7679999999993665,7.7679999999993665,20.751776163811243,101.7956491801406,1,6.001419377038821,4.606091437094254,3.8472010880930063,3885,timeout
31,True,31,success,on,6.2699999999995315,5.365999999999631,31.590886946920765,52.23590843338626,1,5.81907632524227,-1.3289531888996173,5.665291934287994,2684,force_abort
