trial,wall_seed,outcome,guess
0,0,success,on
1,1,success,on
2,2,success,unsure
3,3,force_abort,off
4,4,success,unsure
5,5,force_abort,off
6,6,force_abort,unsure
7,7,success,on
8,8,force_abort,off
9,9,success,unsure
10,10,success,unsure
11,11,force_abort,off
12,12,success,unsure
13,13,success,off
14,14,force_abort,off
15,15,success,on
16,16,success,on
17,17,success,unsure
18,18,success,on
19,19,success,unsure
20,20,success,on
21,21,success,off
22,22,force_abort,unsure
23,23,success,off
24,24,success,off
25,25,force_abort,off
26,26,success,unsure
27,27,success,off
28,28,success,unsure
29,29,success,on
30,30,success,unsure
31,31,success,on
