outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
force_abort,,34.81513164743332,1,17.29037622097675,1047,2.091999999999991,0,vision,False
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
timeout,,18.980743419270425,1,79.70144539257821,9000,17.998000000000903,1,vision,False
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,32.21316341597082,1,11.913262350753609,907,1.8120000000000014,2,vision,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
force_abort,,31.682221334045504,1,22.244716641847546,1632,3.2619999999998623,3,vision,False
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
force_abort,,30.049383718653974,1,23.011363427437956,1663,3.3239999999998555,4,vision,False
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,43.3083614081018,1,28.705365097878108,1870,3.73799999999981,5,vision,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
force_abort,,39.406368089700024,1,20.193762183140358,1320,2.637999999999931,6,vision,False
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
force_abort,,44.14147735184376,1,33.573291819873944,2274,4.545999999999721,7,vision,False
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
success,4.3359999999997445,27.586659636609898,1,61.8978398369129,2195,4.387999999999739,8,vision,True
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,30.31944870308636,1,20.821311145493752,1547,3.091999999999881,9,vision,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,7.851999999999357,20.816232465610707,1,88.2549109910116,3953,7.9039999999993515,10,vision,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
force_abort,,53.423145111936144,1,16.403224589507175,1065,2.1279999999999872,11,vision,False
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
force_abort,,31.084450018956392,1,26.241093683407946,1949,3.8959999999997925,12,vision,False
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,40.90277296128225,1,14.501656736697697,1138,2.273999999999971,13,vision,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,4.997999999999672,8.809251847092531,1,43.52492426293418,2526,5.049999999999666,14,vision,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
success,6.031999999999558,25.213934287587357,1,76.5696724419775,3043,6.083999999999552,15,vision,True
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
force_abort,,32.54068089895494,1,27.273648192238298,1944,3.8859999999997936,16,vision,False
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,44.74947432229139,1,10.829300511618028,581,1.1600000000000008,17,vision,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
success,6.981999999999453,11.926429160055903,1,54.33898799255227,3518,7.033999999999447,18,vision,True
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
timeout,,18.599988302798902,1,251.25778617353785,9000,17.998000000000903,19,vision,False
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
success,9.693999999999907,17.245798020602344,1,101.59668719666723,4873,9.743999999999923,20,vision,True
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
success,8.74599999999959,17.94722472226154,1,97.41952814314632,4399,8.795999999999607,21,vision,True
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
force_abort,,34.81759059023877,1,42.12558723035574,3094,6.185999999999541,22,vision,False
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,30.923488329979165,1,26.225780851993107,2022,4.041999999999777,23,vision,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
